,Date compared,Date assessed,Slope IDs,Tree IDs,Status (in Order / follow-up
0,2022-11-30,2022-12-01,SA1745,TS008,", Follow-Up (Trend) day1: 0.09622 day2: 0.08937"
1,2022-11-30,2022-12-01,SA1745,TS013,In Order
2,2022-11-30,2022-12-01,SA1745,TS015,In Order
3,2022-11-30,2022-12-01,SA2322,TS001,In Order
4,2022-11-30,2022-12-01,SA1652,TS003,In Order
5,2022-11-30,2022-12-01,SA1707,TS001,In Order
6,2022-11-30,2022-12-01,SA1706,TS001,In Order
7,2022-11-30,2022-12-01,SA1860,TS058,In Order
8,2022-11-30,2022-12-01,SA2114,TS003,In Order
9,2022-11-30,2022-12-01,SA20307,TS001,In Order
10,2022-11-30,2022-12-01,SA3110,Dead tree 1,In Order
11,2022-11-30,2022-12-01,SA3110,Dead tree 2,In Order
12,2022-11-30,2022-12-01,SA1087,TS002,Follow-Up (Sway): F = 1.13520 day1: 4.17584 day2: 4.74044
